"drafter_id","drafter_team_id"
"76db1740-d667-4f0d-ba8c-f2d72a41bbee","4011c0ac-d296-47e5-b0d3-41d8a07bd7e6"
"28c02cfb-2949-4f42-b6a3-0a22674837f0","4011c0ac-d296-47e5-b0d3-41d8a07bd7e6"
"86635f22-34e5-4db8-98f1-01adcae05f60","7f7e4c18-ad0a-46d3-9f34-eddc0098884f"
ebc9cb8b-e5eb-46b1-b8a5-667fc8c17726,"7f7e4c18-ad0a-46d3-9f34-eddc0098884f"
"1ea64225-2ea5-4dc3-8ba5-1e85e09835f6","9130805c-ea89-4421-a665-44ec89a0cd39"
ca18dc40-b3bd-4914-ae6d-428820352998,"9130805c-ea89-4421-a665-44ec89a0cd39"
"6b983673-ae3d-4b82-afbf-c46ec9b20ef8","645eea9b-6207-4e73-b2c0-333e1002f3b1"
"1472e9cc-4f46-44c8-b3b9-964944522c78","645eea9b-6207-4e73-b2c0-333e1002f3b1"
f84ec475-cba0-4525-a786-ccea39b90167,"8723a5e1-145e-4e11-a7f0-6401296fcae2"
c1d4eec2-0cdf-4336-870c-12a4f0948fca,"8723a5e1-145e-4e11-a7f0-6401296fcae2"
"997d2284-f252-4fbd-89d4-78a08c3466bc","5f27ef78-89ee-4484-b285-7269c4fbab6a"
"60537c60-a725-4454-a946-d448a793d58d","5f27ef78-89ee-4484-b285-7269c4fbab6a"
"48936fdb-8ffb-4838-912d-1056e380c836","4f0a9b83-b204-48d4-a2bd-8af590c50d0f"
b7ac3621-c2ce-4745-96cf-8ba2a64f4798,"4f0a9b83-b204-48d4-a2bd-8af590c50d0f"
"56f27ee2-7254-40fc-b00a-93717ca3d3fa","4335a07e-7483-4250-bd7b-8c047f29b69d"
"25ce3648-2aa4-4992-a379-003d561b81d4","4335a07e-7483-4250-bd7b-8c047f29b69d"
