Id,Name,SeriesKind,CanonicalPolicy,ContinuityScope,ContinuityDateRule,RequiredDraftType,DefaultDraftType,AllowedDraftTypes
ce01a65e-2290-4a9b-baeb-05a5a7445004,Default,0,0,2,0,,,31
0e8866ba-632e-4ae2-8226-d91406826dd6,Franchise mini-Super,1,1,0,0,4,4,16
73f2b38e-2c68-4c65-997d-1e7091682e34,Bryan and Billy Ray's Nonagenarian In-Memoream,2,2,1,1,0,0,1
079607f6-72f4-4eae-8d62-55a3e7c996fc,Legends Invitational,3,1,0,0,2,2,4
98230a04-18a1-40d6-80cc-f04ab17eed95,Best Picture Nominee mini-Super,4,1,0,0,4,4,16
aa752d8b-5658-42fc-877b-3de2bee2c611,Patreon vs.,5,2,0,1,0,0,1
14d48559-1e51-4d69-bd27-84c191d23263,Live Drafts,6,2,0,1,,,15
3de9d647-af48-492c-98e0-00ca3909c4d6,Special Drafts,7,1,0,0,,0,15
c2100630-3d3d-4d46-ac07-74a3c960c485,Speed Drafts,8,1,3,0,5,5,32
5700a8e8-9ae1-45a5-98a7-fa258facf479,Mission: Impossible Super Draft,7,2,0,1,3,3,8
8e7285fe-e747-0b46-82a3-d2d264d10a54,Non-Canonical,7,0,0,0,,,31
